Comment,Designator,Footprint
,MX2,MXOnly-1U-NoLED
,MX3,MXOnly-1.5U-NoLED
,MX4,MXOnly-1.75U-NoLED
,MX5,MXOnly-1.25U-NoLED
,MX7,MXOnly-2.25U-NoLED
,MX8,MXOnly-1.25U-NoLED
,MX9,MXOnly-1U-NoLED
,MX10,MXOnly-1U-NoLED
,MX11,MXOnly-1U-NoLED
,MX12,MXOnly-1U-NoLED
,MX13,MXOnly-1U-NoLED
,MX14,MXOnly-1U-NoLED
,MX15,MXOnly-1U-NoLED
,MX16,MXOnly-1U-NoLED
,MX17,MXOnly-1U-NoLED
,MX18,MXOnly-1U-NoLED
,MX19,MXOnly-1.25U-NoLED
,MX20,MXOnly-1U-NoLED
,MX21,MXOnly-1U-NoLED
,MX22,MXOnly-1U-NoLED
,MX23,MXOnly-1U-NoLED
,MX24,MXOnly-1U-NoLED
,MX25,MXOnly-1U-NoLED
,MX26,MXOnly-1U-NoLED
,MX27,MXOnly-1U-NoLED
,MX28,MXOnly-1U-NoLED
,MX29,MXOnly-1U-NoLED
,MX30,MXOnly-1U-NoLED
,MX31,MXOnly-1U-NoLED
,MX32,MXOnly-1U-NoLED
,MX33,MXOnly-1U-NoLED
,MX34,MXOnly-6.25U-NoLED
,MX35,MXOnly-1U-NoLED
,MX36,MXOnly-1U-NoLED
,MX37,MXOnly-1U-NoLED
,MX38,MXOnly-1U-NoLED
,MX39,MXOnly-1U-NoLED
,MX40,MXOnly-1U-NoLED
,MX41,MXOnly-1U-NoLED
,MX42,MXOnly-1U-NoLED
,MX43,MXOnly-1U-NoLED
,MX44,MXOnly-1U-NoLED
,MX45,MXOnly-1U-NoLED
,MX46,MXOnly-1U-NoLED
,MX47,MXOnly-1U-NoLED
,MX48,MXOnly-1U-NoLED
,MX49,MXOnly-1U-NoLED
,MX50,MXOnly-1U-NoLED
,MX51,MXOnly-1U-NoLED
,MX52,MXOnly-1U-NoLED
,MX53,MXOnly-1U-NoLED
,MX54,MXOnly-1U-NoLED
,MX55,MXOnly-1U-NoLED
,MX56,MXOnly-1U-NoLED
,MX57,MXOnly-1U-NoLED
,MX58,MXOnly-1U-NoLED
,MX59,MXOnly-1U-NoLED
,MX60,MXOnly-1U-NoLED
,MX61,MXOnly-1U-NoLED
,MX62,MXOnly-1U-NoLED
,MX63,MXOnly-1U-NoLED
,MX64,MXOnly-1U-NoLED
,MX65,MXOnly-1U-NoLED
,MX66,MXOnly-1U-NoLED
,MX67,MXOnly-1U-NoLED
,MX68,MXOnly-1U-NoLED
,MX69,MXOnly-2.25U-NoLED
,MX70,MXOnly-1.75U-NoLED
,MX71,MXOnly-1U-NoLED
,MX73,MXOnly-2U-NoLED
,MX74,MXOnly-1.5U-NoLED
,MX75,MXOnly-1U-NoLED
,MX76,MXOnly-1U-NoLED
,MX77,MXOnly-1U-NoLED
,MX78,MXOnly-1U-NoLED
,MX79,MXOnly-1U-NoLED
